GeneID	Control1	Control2	Control3	Control4	KO1	KO2	KO3	KO4
Mycbpap	70	27	0	0	106	90	42	12
Nrn1	1947	571	1613	2018	424	625	614	750
Itga9	0	5	3	0	0	1	1	2
Adgrg6	378	231	527	314	558	680	643	1047
Taf4	373	269	354	177	252	184	493	415
Prune2	7	4	11	9	0	4	4	3
Cdc123	3009	2591	2817	2725	2758	3148	2624	3141
Zc3hc1	509	315	323	438	434	516	330	414
Gipc2	142	193	152	40	37	1	15	27
Whrn	43	2	8	4	7	10	64	66
Camk1d	1	77	0	1	59	29	3	0
Ifi44l	0	0	0	0	0	0	0	0
Sart1	770	630	624	699	472	1027	775	698
Runx2	0	122	3	0	1	8	4	8
Shd	0	0	0	0	0	0	0	1
Cdh26	0	0	0	0	0	0	0	0
Stim2	132	316	224	152	162	199	161	193
Fam102a	1076	1211	1679	1779	693	1040	1164	1187
Akna	0	23	1	0	10	16	4	40
Ube2h	4469	3666	5086	3680	4870	6914	5942	6461
Cmc1	1850	839	1190	967	1268	1157	983	1444
Naif1	200	50	156	135	85	302	109	162
Akap7	18	277	94	11	84	84	129	81
Adgrl4	0	0	0	0	0	0	0	0
Dap	9763	7640	9646	6221	6254	6684	5531	6309
1700003H04Rik	0	0	0	0	0	0	0	0
Polg	197	335	186	119	175	311	469	422
Tbc1d19	152	529	164	148	302	235	340	121
Tekt5	76	0	61	0	54	156	0	70
AW209491	1152	279	1257	555	314	190	353	582
Nubp2	858	1772	1977	862	788	1032	667	1175
Fanci	0	0	0	5	9	9	4	2
Rbpj	596	793	436	471	544	656	528	505
Nlrc4	0	1	0	0	0	0	6	0
Rlbp1	0	0	0	15	1	1	2	0
1110008P14Rik	1655	1264	1558	1016	675	896	552	1014
Orm1	0	0	0	0	0	0	0	0
Adk	1507	2621	949	1069	1222	1291	1409	1121
Ptchd3	0	0	0	0	0	0	0	0
Zdhhc1	462	502	419	270	197	582	415	374
Atf7ip2	11	0	0	0	0	6	0	0
Tbc1d25	40	235	111	341	6	134	179	201
Abhd2	209	157	456	138	132	247	143	183
Ciz1	498	568	381	276	284	802	839	412
Daglb	280	954	116	317	134	54	47	297
Metrnl	271	2139	602	759	802	751	591	475
Rpl39l	0	0	0	0	0	0	0	0
Gpatch2	318	49	155	143	370	210	213	292
Svs1	0	0	0	0	0	0	0	0
Il18	81	585	173	32	3	0	18	8
Srrm2	3476	3730	4257	2787	2336	4190	5422	4870
Arid4b	1897	1414	1894	1878	1966	2231	2514	2665
Ppp1r10	537	724	561	482	1595	1871	1102	1294
Rpl22l1	1259	852	1082	680	909	942	1001	1260
D1Pas1	0	0	0	0	0	0	0	0
Tbcd	324	256	447	573	553	607	305	865
Suv39h1	273	484	147	74	92	210	259	355
Stx11	226	17	41	37	147	182	102	98
Tbce	766	637	954	778	391	550	732	979
Sec24d	45	1233	52	9	5	117	147	76
Isg20	691	1224	636	206	533	700	341	724
Zfp750	65	176	350	439	261	326	317	741
Tgfb2	8	739	72	0	0	19	3	33
B3galnt2	256	212	471	166	464	256	699	532
E130309D02Rik	105	39	57	207	268	237	92	229
Lyplal1	471	779	326	396	412	303	503	561
Lgi2	0	228	0	0	0	9	1	17
Fn3krp	0	3	3	5	0	14	3	0
Pomt1	160	208	25	125	210	212	95	175
Vstm2b	0	0	0	0	0	0	0	0
Prrc2b	1517	1353	1112	869	929	1334	1730	1941
Npepl1	761	820	523	638	843	696	660	908
Gimap3	0	0	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0	0	0
Megf9	737	218	778	679	680	855	883	935
Foxk2	595	472	687	234	173	314	364	325
Pcsk1n	0	0	0	0	0	0	0	0
Azi2	758	632	1136	1005	961	743	719	1022
Fndc3b	1158	753	445	1038	883	759	756	967
Cybc1	625	1007	1125	550	717	716	742	1286
Spdye4a	0	0	0	0	0	0	0	0
Cdk5rap2	49	519	171	94	202	131	166	204
Tnfsf10	51	43	16	4	6	11	8	11
Hexdc	154	138	279	77	127	92	151	226
Ndst2	118	246	120	86	120	283	346	526
Minar1	0	0	0	0	0	0	0	0
Clnk	0	0	0	0	0	0	0	0
Rftn1	0	146	58	0	1	26	0	0
Rab3gap2	157	596	327	74	117	421	394	757
Uts2r	0	0	0	0	0	0	0	0
Igfbp2	19752	9215	17926	13603	8550	8794	6562	8451
Rnf122	89	29	57	39	1	83	21	0
Tex19	0	0	0	0	0	0	0	0
Tsga10ip	0	0	0	0	0	0	0	0
Spata16	0	0	0	0	0	0	0	0
Ankar	0	0	0	0	0	0	0	0
Mettl22	323	303	328	211	147	193	368	438
Atp6v0e2	49	141	71	3	0	67	30	0
C130074G19Rik	0	0	0	0	2	0	0	0
Smarcal1	153	102	101	84	84	346	102	342
Exosc2	449	444	370	383	474	401	232	603
Fut11	450	522	447	329	330	389	286	442
Drd5	0	0	0	0	0	0	0	0
Picalm	1660	1055	1452	1791	1081	871	1280	1505
Sectm1b	0	0	0	0	0	0	0	0
Sec24c	618	581	623	767	814	824	1039	1825
4-Mar	0	2	1	11	0	12	1	0
Wdr17	2	16	2	2	3	6	11	3
Synpo2l	0	2	0	5	0	2	0	0
Hlx	2	121	7	0	10	0	5	21
Wdr45	532	644	575	686	899	940	550	768
Dusp10	91	29	87	6	111	110	140	116
Cdh6	0	0	0	0	0	0	0	0
Ccdc81	0	0	0	0	0	0	0	8
Mreg	1247	550	1422	983	660	447	849	921
Neil3	4	88	0	1	0	9	102	29
Prss23	176	373	108	0	0	0	21	94
Prdm16	0	0	71	7	42	49	2	23
Heatr5b	183	281	459	56	155	49	559	278
Cntnap2	117	58	79	73	101	96	67	118
Alg1	208	268	299	36	331	258	138	127
Tmem135	522	761	301	134	507	311	271	551
Mtmr7	4	1	9	1	8	17	27	18
Ttc36	258	13	83	134	36	39	35	38
Prpf18	529	369	403	195	406	373	439	511
Dcxr	3407	1827	2473	2006	1807	2719	1540	2358
Snx22	0	1	2	0	4	0	0	2
Morc3	449	461	670	222	149	570	434	626
Ppl	1173	1668	1758	1882	2220	2591	2253	2149
Mtmr12	437	339	436	180	222	211	533	263
Tcta	2798	1350	1916	1239	2102	2086	1558	2779
Col10a1	0	0	0	0	0	1	0	0
Slc9a8	256	325	164	173	187	211	598	214
Zdhhc2	1	34	0	4	0	34	13	1
Ubn1	294	424	164	183	384	368	328	538
Wfs1	68	338	192	84	110	268	133	421
Prrx2	0	91	0	0	0	31	0	5
Tnrc18	127	131	211	182	41	92	220	60
Micu3	168	99	140	82	68	103	198	173
Nt5dc1	307	253	517	491	191	333	243	460
Nrtn	105	560	0	7	208	241	202	152
Asb6	288	211	295	408	147	319	232	295
Tspyl4	55	1	7	1	0	58	43	7
Cntn5	0	0	0	0	0	0	0	0
Ccdc27	0	57	0	0	0	0	0	0
Cdnf	1	0	0	3	3	7	49	2
Dse	2	450	131	7	0	6	0	14
Znfx1	99	334	396	120	9	56	27	184
Calhm4	1	0	0	0	1	0	0	0
Nup133	164	364	217	293	49	446	195	170
Uhrf1bp1	71	9	96	99	26	239	205	96
Ptpa	505	532	330	456	361	521	521	867
Cdsn	0	0	0	0	1	0	0	0
Cyp7b1	0	241	213	4	0	0	0	1
Foxp3	0	0	0	0	0	8	0	0
Cep104	0	268	187	84	129	204	66	266
Atp8b1	3666	1376	4437	3503	2321	1759	1930	2277
Tusc3	3494	2814	2500	1643	2670	2431	2493	2539
Zup1	645	409	501	477	61	347	468	476
Mmd2	0	0	0	0	0	0	1	0
Stau1	942	939	1121	1179	720	1001	990	1070
Sgcz	0	17	0	0	0	0	0	0
4921524L21Rik	0	0	0	0	0	0	0	0
Ncam1	0	1952	17	46	0	1	0	1
Cfap70	0	44	0	0	0	102	0	0
Ajap1	0	0	0	0	0	11	1	0
Rsph4a	0	0	0	77	18	56	0	38
Cylc2	0	0	0	0	0	0	0	0
Ppp1r3f	0	0	33	0	0	0	0	3
Ubald1	791	359	1156	479	531	856	710	561
Nphp4	16	0	0	0	0	0	1	0
Ccser1	86	65	145	102	50	71	239	89
Grin3a	0	0	0	0	0	0	1	0
Myo9a	507	905	753	662	520	530	740	990
Fam149b	723	619	298	404	464	640	546	647
Rcan2	0	44	28	0	0	0	0	0
Rbms3	1150	1005	1882	1405	789	1454	1121	2026
Olfr303	0	0	0	0	0	0	0	0
Tmem246	755	487	927	881	797	1392	1101	2592
Stub1	1036	1832	1349	917	1055	1559	1194	1435
Mocos	10	116	137	12	121	46	89	46
Trmt9b	0	44	115	59	7	29	136	88
Prex1	0	33	58	46	63	0	12	0
Ap5z1	426	204	87	300	25	42	131	144
Hs3st6	15	72	50	52	28	26	54	100
Strip2	3	69	44	54	14	17	3	18
Hnrnpu	1116	956	1459	1245	1297	700	1084	1576
Ccdc151	0	0	51	0	0	6	0	0
Lonrf1	305	49	167	255	132	170	222	506
Zfp189	0	4	0	0	0	0	41	126
Coro7	158	51	260	282	229	285	173	572
Kcne1	460	190	637	492	288	315	222	478
Mrpl12	900	974	895	653	652	830	740	916
Vasn	52	408	96	22	86	291	69	172
Kyat1	1954	834	3042	1911	1310	1713	2269	2247
Cpeb3	0	0	22	37	56	7	0	17
Baat	0	0	0	0	0	0	15	0
Rxrb	409	89	203	123	216	432	238	259
Spout1	137	647	669	518	394	570	381	751
Dusp26	0	7	0	0	0	0	0	0
Icmt	72	26	204	197	92	81	105	162
Oxld1	298	126	196	76	163	125	181	307
Zmynd8	627	206	368	624	372	766	606	610
Kcne2	0	0	0	0	29	11	0	2
Capsl	535	284	352	211	590	604	415	496
Tbc1d13	66	105	29	45	49	57	70	84
Mrps6	2002	1569	1902	1893	2036	2248	2407	2760
Lap3	391	1195	1298	710	516	683	734	1156
Sdk1	0	25	22	1	50	214	76	67
Zer1	352	450	340	61	227	256	228	282
Tspan10	0	0	0	0	0	0	0	0
Msantd3	23	103	47	64	155	140	275	239
Ncoa7	63	8	48	116	23	25	39	42
Batf2	0	279	0	0	0	0	1	0
Usp53	249	847	476	589	119	249	376	546
Nploc4	380	407	471	356	342	480	317	346
Lmbrd2	77	42	276	160	94	83	173	323
Ldb2	0	0	2	0	0	0	1	0
Slc7a12	0	0	0	0	0	0	0	0
Plekhg5	45	441	203	148	153	90	184	35
Cplx3	0	0	0	0	0	0	1	0
Wdr34	311	112	229	244	366	767	597	134
Dock3	0	0	0	0	14	0	0	0
Ralyl	0	0	0	0	0	0	0	0
Got1l1	0	0	0	0	0	0	0	0
Trp53rka	196	58	130	144	45	105	148	245
Slc6a5	0	0	0	0	0	0	0	0
Fnbp1l	425	434	743	458	509	459	680	697
Prkrip1	286	444	450	174	201	421	160	345
Slx4	64	391	121	63	91	17	42	3
Alg2	739	477	450	554	321	438	416	534
Bahcc1	177	69	6	37	80	0	10	99
Fam71f1	0	0	0	0	0	0	0	0
Htatip2	4086	2185	2949	3361	2422	2827	2346	2699
Orai2	113	75	184	33	165	144	51	59
Exo1	9	171	4	16	30	11	24	3
Fbxl5	899	1217	2598	1262	1200	1315	1071	1562
Alkbh4	0	20	83	110	3	55	104	169
Dnttip2	3028	1479	2603	2430	2107	2772	1871	2369
Thap3	267	468	455	322	430	690	485	507
Il22ra2	0	0	0	0	0	0	2	0
Dnajc28	0	0	57	65	9	108	157	75
Cc2d2a	127	276	203	299	8	51	69	200
Dnajc11	344	551	902	361	429	379	426	755
Ypel5	5415	2284	4989	4235	5724	5183	5230	6066
Polr2j	1696	1602	1248	751	814	1289	1249	1518
Galnt12	16	120	89	138	157	160	330	246
Defb3	0	0	0	0	0	0	0	0
Cep131	95	54	48	53	48	77	88	56
Cpeb2	1231	800	1027	1505	858	1128	1135	1141
Kmo	1	0	0	0	0	0	5	2
Defb5	0	0	0	0	0	0	0	0
Cercam	41	342	0	2	53	10	15	19
Zfp597	70	220	114	222	38	131	120	73
Zfand1	1517	1225	1487	1634	1315	1132	1444	1647
Cplane1	233	158	235	133	267	151	311	214
Ncoa5	104	230	189	175	76	342	230	705
Gabbr2	0	0	0	0	0	42	2	0
Zc3h10	137	28	81	35	30	185	104	132
Tbc1d2	1621	358	1406	1102	889	1170	1105	1479
Xkr5	0	0	0	0	0	0	1	6
Myl6b	0	0	7	31	26	50	45	61
Trub2	176	341	1	16	124	251	136	230
Wdr70	768	253	607	218	406	694	653	600
Olig2	0	0	0	0	0	0	0	0
Arhgap29	614	2846	809	162	124	101	92	292
Zfp335	3	0	66	1	0	26	1	7
Nhsl1	387	244	481	418	409	256	432	417
Slc45a1	0	0	0	0	1	1	0	0
Epg5	224	311	54	25	123	221	187	214
Zfp800	253	154	222	369	45	196	367	230
Mcph1	51	226	171	157	77	142	177	121
Rapgef1	267	372	135	407	194	92	443	360
Pcif1	629	908	807	622	946	763	694	729
Endov	304	221	96	216	239	343	219	330
4932438H23Rik	0	19	0	0	0	0	0	0
Rere	787	497	557	407	243	582	688	621
Trim14	4	15	33	32	0	0	11	33
Srrm3	0	0	0	7	2	0	3	1
Slc44a3	734	142	558	534	366	278	460	982
Neurl2	0	0	0	0	8	38	16	15
Slc39a5	6	4	3	1	0	1	7	2
Heca	166	180	97	130	97	170	262	227
Lrrc17	9	255	1	5	2	8	4	3
Tmem120a	655	984	644	704	627	628	838	1040
Alg14	1266	1609	670	1156	706	869	667	679
Txlnb	0	0	0	0	0	0	0	0
Fgl2	59	0	0	0	0	0	0	0
Armh3	55	283	75	82	116	32	34	377
Eva1c	0	59	47	0	0	4	31	2
Gpr37	0	0	0	0	0	0	0	0
Slc26a11	0	28	12	1	1	46	68	89
Cited2	115	121	58	79	114	109	154	220
Spsb1	26	1847	347	141	33	17	14	44
Pak7	0	0	0	0	0	0	0	0
Coq10a	169	224	64	36	23	73	54	49
Rhbdd2	839	19	1545	569	988	998	1016	758
Urb1	12	47	75	197	102	269	65	126
Gsap	0	293	74	28	3	0	44	61
Pik3cd	0	121	0	0	0	0	0	0
Ptger4	105	337	473	135	63	70	87	44
Plcb4	702	665	1004	859	911	1145	1092	1048
Dag1	1126	1533	1099	1011	1232	1350	1513	1593
Clstn1	2566	1528	1993	2309	1997	2739	2495	3089
Stk32a	0	0	0	0	0	0	0	0
Mrap	0	0	0	0	0	0	0	0
Etfbkmt	1361	635	904	913	754	768	600	590
Hip1	0	325	140	1	0	0	0	0
Rhou	127	1035	135	33	79	197	95	184
Olfr906	0	0	0	0	0	0	0	0
Ccdc40	0	6	0	1	0	0	35	0
Zfp292	1055	646	1405	520	618	729	587	1275
Rsbn1l	624	241	414	424	351	422	437	363
Tbc1d16	308	201	397	402	254	221	315	176
Deup1	0	0	0	0	0	0	0	0
Zc3h12d	0	0	11	0	0	1	3	0
Dtx4	506	197	385	301	599	666	434	673
Ccdc32	311	263	266	153	434	322	286	287
Sinhcaf	3050	1087	2641	2163	2063	1856	1674	2277
Phtf2	63	164	339	306	205	152	234	376
Ankrd13c	241	214	260	126	273	157	339	252
Cbx4	202	154	272	177	286	152	323	349
Edrf1	175	330	573	314	63	421	453	412
Timeless	2	130	57	1	0	130	4	84
Ifi203	139	345	39	56	778	73	24	69
Magi2	0	6	0	0	0	3	0	0
Ginm1	1545	1854	1390	904	1540	1176	1201	1471
Bahd1	73	230	131	60	62	158	48	24
Gnaz	1	18	0	4	0	19	4	0
Slc7a5	34	68	16	20	6	43	0	27
Fkbp6	0	0	0	0	0	0	0	0
Ptger3	269	2614	424	0	3	2	0	81
Saa4	2	3	1	0	0	1	0	0
Cox15	196	181	303	280	165	219	323	300
Lats1	409	393	287	342	529	674	726	831
Rab11fip2	131	243	167	151	121	244	204	367
Ythdf2	1107	700	1360	765	1173	1126	915	1064
Saa3	2635	6282	894	2811	0	1	0	1
Elavl1	2396	1448	1635	1387	1974	2583	1819	2652
Ipo8	393	261	455	325	123	165	204	395
Stat2	233	292	354	431	15	109	103	298
Nup43	303	391	495	528	240	602	439	323
Disp2	0	0	0	0	0	0	0	0
Negr1	0	154	0	0	0	0	18	0
Ift88	264	113	199	610	217	344	454	661
Rbms2	802	1531	1151	666	880	899	977	1153
Orc3	679	1001	899	746	1020	886	667	1465
Tph1	0	0	0	9	0	0	1	0
Ndufb10	5296	5076	4337	3405	3145	3442	3608	4816
Baz2a	666	411	467	625	438	786	632	901
Gjb6	2270	522	2598	1408	1472	2213	1809	2478
Plcb2	0	0	0	0	0	12	0	0
Pfpl	0	0	0	0	0	0	0	0
Bub1b	0	167	0	0	87	61	103	55
Tnni3k	0	0	0	0	0	0	3	0
Bmf	40	92	161	2	65	126	123	413
Flywch1	20	34	134	128	62	95	19	68
Klhl42	87	75	19	81	78	88	150	104
Plpp6	119	69	114	194	88	81	134	43
Gramd1b	0	176	5	0	0	2	1	9
Mrps35	1216	990	919	1046	1328	1492	1354	2233
Mettl11b	0	0	0	0	0	0	0	0
Cacna2d1	162	170	175	96	38	79	113	144
Rep15	0	0	15	51	0	0	24	0
Zmym5	1277	456	1287	1149	897	1178	913	1086
Gorab	156	393	270	117	60	239	271	194
Gpr26	1	4	2	4	4	7	9	9
Sdr9c7	0	0	0	0	0	0	0	0
Pnrc1	1449	901	1001	721	1781	2108	1255	2277
Svs2	0	0	0	0	0	0	0	0
Gpr176	0	1	0	67	0	0	0	0
Rdh7	0	0	0	0	0	0	0	0
Abcc8	0	0	0	0	0	0	7	0
Ndp	0	0	0	0	0	36	0	0
9430038I01Rik	333	139	173	382	254	338	322	434
Tdrd6	0	0	0	0	0	0	0	0
Rgl3	301	38	360	333	543	457	195	146
Maob	0	0	0	0	0	0	0	0
Hmx3	0	0	0	0	0	0	0	0
Hs2st1	196	1009	245	168	372	138	241	312
Thbs1	3011	2611	2430	2597	2075	2015	1855	1835
Wfdc5	0	0	0	0	0	0	0	0
Tax1bp3	4902	7342	5508	3273	3844	4035	2656	4409
1700034J05Rik	0	0	0	0	0	0	0	0
Kcns1	0	0	0	0	0	0	0	0
Cd209c	35	73	24	49	32	75	79	140
Ikzf5	219	217	308	205	261	219	69	202
Fmo2	205	1780	78	59	127	79	0	0
Alkbh3	258	621	267	358	325	552	706	653
2310057M21Rik	298	450	249	341	520	267	318	376
Fmo1	68	378	51	75	58	60	87	83
Ankrd6	41	150	56	24	87	56	71	209
Arntl2	43	371	28	137	137	98	76	97
Scamp2	1008	1968	870	961	756	1061	1002	1560
Ccdc114	212	62	2	0	60	140	35	11
Nemp1	122	77	30	34	35	119	32	70
Cd209e	0	0	0	0	0	0	0	0
Pclaf	19	516	19	9	56	447	52	178
Cuzd1	0	0	0	0	0	0	0	0
Zfp704	825	456	1049	870	954	933	1179	1055
Emp3	400	14117	856	156	0	9	44	249
Kyat3	52	97	123	39	20	59	53	45
Ttc12	775	312	908	274	121	85	153	159
Gas8	346	400	86	278	267	354	458	513
Prrc2c	1167	1426	814	1208	1002	1855	1554	1689
Gpr34	0	11	0	0	0	13	1	0
Syngr4	0	0	0	0	0	8	0	0
Tm7sf3	365	624	325	205	292	488	397	420
Trappc5	513	774	578	272	428	438	464	716
Fgfr1op2	1546	1569	1971	1953	2133	2128	1401	2634
Tbc1d10c	0	0	0	0	0	25	59	2
Lrp1	944	3608	706	479	326	965	926	1161
Ints13	446	354	90	468	410	333	355	380
Gbp7	102	644	567	74	15	37	48	15
Sema3d	0	379	0	29	0	0	0	0
Nxph4	0	0	0	0	0	0	0	0
Daam2	2	54	0	6	0	76	3	0
Klhdc4	163	112	121	224	43	237	196	136
Gbp2b	12	11	141	0	0	0	2	0
Dnm3	0	108	7	0	38	32	91	95
Plekha1	679	383	1379	1286	719	1264	1060	1111
Mrps28	2698	2675	2207	1603	2201	2587	1817	2247
Bach2	100	73	201	177	281	241	180	481
Accs	1	210	62	2	167	134	99	258
Cdk6	237	631	445	170	301	436	246	483
Pacsin1	0	0	0	0	0	0	0	0
Ndufa4l2	0	596	0	64	0	0	4	0
BC052040	354	326	238	193	353	323	336	236
Btnl9	0	1	0	0	0	0	1	0
Gzmg	0	0	0	0	0	0	0	0
Stac3	0	0	2	12	0	2	22	1
Hey1	0	14	0	0	0	0	0	0
Ddx58	222	545	173	77	208	90	9	240
Suco	1511	408	804	712	427	730	737	549
Btbd16	1	0	2	1	0	2	1	0
Rbm48	363	164	239	14	136	186	200	187
Alx4	1	2	1	0	0	1	0	0
Cchcr1	6	53	112	43	57	84	25	229
Ctsg	0	0	0	0	0	0	0	0
Zfp770	86	65	11	49	3	17	83	21
Slc25a24	2288	713	2160	1336	1518	1730	1078	1274
Dcaf1	250	188	512	507	169	386	419	335
Cul9	21	229	378	43	9	100	139	135
Olfr56	0	0	0	0	0	0	0	0
Il7	5	76	0	17	21	0	0	0
Nsmce4a	196	163	224	335	148	435	223	491
Fam102b	217	1040	20	58	76	94	75	85
Tex45	0	0	0	0	33	124	79	60
Arhgap9	51	1	57	56	68	132	14	212
Trim7	245	0	217	199	59	58	178	209
Ankib1	334	461	251	397	206	111	335	278
Mars	218	668	440	401	500	605	373	497
Skiv2l	302	579	302	90	402	435	192	629
Ufl1	862	481	818	792	665	882	827	929
Bcor	496	164	388	432	532	257	84	322
Sec1	0	0	0	0	0	0	0	66
Trim41	238	138	642	432	483	554	365	692
Lrrd1	0	12	0	0	0	0	0	0
Etfrf1	1344	656	736	936	812	561	699	949
Gpr63	0	0	0	0	0	0	0	0
Cacng5	0	0	0	0	0	0	0	0
Pex2	1345	2037	1229	945	1371	1062	1421	2298
Cbln3	0	3	3	6	2	5	2	2
Aqr	717	499	1026	402	535	454	331	572
Ppp1ca	12385	14675	12488	9135	12403	13589	10519	13738
Klhl32	0	1	0	1	0	10	2	1
Wdr47	4	6	294	371	70	134	82	244
Map3k10	8	0	6	14	32	1	35	32
Abhd13	475	305	510	163	301	450	418	568
Havcr1	0	0	0	0	0	0	0	0
Akap9	3060	1987	2770	2132	2112	2888	2738	3151
Fbxl4	799	142	458	982	630	566	454	752
5330417C22Rik	6	0	5	26	18	51	33	7
Timd2	0	0	0	0	0	0	0	0
Slc25a28	314	181	278	255	167	293	357	446
Dtx3	127	946	134	73	126	155	282	297
Cdh18	0	0	0	0	0	0	0	0
Rc3h1	1147	733	790	779	721	745	822	898
Hipk4	3	0	0	0	5	8	37	3
Plekha4	0	84	21	7	50	49	9	18
Mterf1a	196	166	84	118	64	56	124	114
Pitpnc1	411	201	419	300	348	493	355	476
Ltb4r2	0	49	0	0	0	0	0	0
Zbtb38	1316	1562	1907	1510	920	1134	1181	1740
Large2	229	0	286	243	341	378	404	413
Ppp1r15a	3401	6760	3598	2939	4247	5954	3953	4976
Slc26a10	0	0	2	11	0	0	16	0
Rprd1a	75	446	459	316	470	218	462	430
Spns2	31	194	68	0	0	0	5	0
Sgms1	232	695	201	276	158	151	330	356
Cdh12	0	0	0	0	0	0	0	0
Usp45	230	299	188	233	84	117	36	100
Hypm	0	0	0	0	40	0	3	9
Arglu1	682	487	848	710	516	900	1106	1193
Os9	1090	1788	1137	637	664	754	926	765
Mybbp1a	306	504	689	713	383	698	870	998
Gtpbp10	123	265	269	260	129	109	185	338
Blvrb	3197	1978	3118	2128	2171	2582	1961	2306
Ggt6	73	30	8	85	0	0	0	30
Rabggta	427	293	309	378	681	696	952	719
Cfap69	0	130	5	0	0	6	0	29
Prdm13	0	0	0	0	0	7	0	0
Dgkz	81	305	59	42	124	286	414	207
Bptf	866	1000	1037	915	1230	1458	1406	2158
Dxo	210	152	421	277	159	382	156	249
Xaf1	134	839	363	150	83	75	217	87
Lrrc52	0	0	0	0	0	0	0	0
Ltbp4	902	5364	717	996	1247	1900	1415	1450
Sox30	0	0	0	1	0	1	0	0
Lrfn2	0	0	0	0	0	0	0	0
Chrm4	0	93	0	0	0	0	0	0
Igsf23	0	31	8	0	0	0	0	0
9-Mar	69	64	25	26	93	118	92	146
Abcg5	0	0	0	0	0	0	0	0
Ambra1	207	300	259	141	57	181	365	207
Pvr	341	592	386	231	242	527	305	698
Tex47	0	0	0	0	0	0	0	0
Manea	91	57	273	85	249	110	178	151
Tsfm	792	672	837	639	859	1255	638	1173
Tlr8	0	0	0	0	0	0	0	0
Zfp609	149	59	154	104	90	208	110	257
Cblc	1213	438	842	1098	1179	1382	1340	1135
Milr1	31	11	34	8	0	32	5	21
Abhd11	918	1126	963	666	951	1012	947	1019
Matn1	0	0	0	0	0	0	0	0
Necab1	60	407	0	0	1	21	0	0
Adam22	118	20	317	490	172	360	433	403
Tmem225	0	0	0	0	0	0	0	0
Pitpnm3	119	81	99	59	1	42	2	59
Tex2	555	322	529	618	150	154	339	311
Ckap5	697	467	977	687	590	451	738	922
Otud6b	1221	932	1290	1261	819	1298	799	1043
C3ar1	47	0	0	0	0	0	3	0
Aipl1	4	0	30	13	7	0	1	0
Mettl27	1430	427	1180	1306	1861	1992	1700	2491
Wdr7	31	113	291	244	80	265	155	435
Gstm2	4463	9158	3575	2964	3830	3098	3169	3642
Plppr2	29	67	23	43	0	50	45	26
Apoc1	5507	2148	3730	1995	2419	1865	2656	2471
Btaf1	574	605	736	588	711	404	506	645
Slc26a7	0	0	0	0	0	2	0	0
Rundc3b	0	0	0	0	0	0	0	0
Tmem270	0	0	0	0	0	0	0	0
Cyp2b13	0	0	0	0	0	12	51	0
Abcb1a	0	15	23	0	27	0	2	0
Ofd1	330	69	138	115	247	308	389	614
1110051M20Rik	645	951	258	224	529	669	546	650
Cd79b	0	0	0	0	0	0	0	0
Ranbp17	24	0	16	0	39	160	20	128
Pogk	389	184	93	291	302	167	551	750
Mis12	296	297	652	390	81	262	83	110
Eps8l3	0	0	0	0	0	0	0	0
Nlrp4a	0	0	1	3	0	0	6	0
Bace2	4344	1532	5859	3898	6782	6990	5143	7959
Kazn	309	277	128	204	145	270	274	386
Tlx3	0	0	0	0	0	0	0	0
Ildr2	400	1388	230	17	1	0	1	13
Apobec1	98	0	77	68	18	226	8	185
Nlrp9c	0	0	0	3	0	0	0	0
Tmem51	1100	603	1310	959	719	1244	1243	1106
Pck2	209	632	164	430	416	303	560	450
Dhx33	501	406	349	98	151	261	131	417
Gemin8	117	146	182	205	134	213	157	245
Plekhg1	234	173	71	62	449	68	149	271
Aicda	0	0	0	0	0	0	0	0
Mael	0	0	0	0	0	0	0	0
Dok4	0	201	80	0	8	48	86	97
Nrl	0	0	0	0	0	0	1	0
Erc2	0	42	9	0	59	40	107	87
Ppip5k2	998	717	881	463	685	616	1004	733
Rimklb	0	1	0	0	0	6	0	0
Cyp2b23	0	0	0	0	0	0	0	0
Tasor	647	386	473	921	542	490	481	668
Oaz2	1465	1561	842	654	993	1644	1524	1187
Ppp1r14c	179	19	102	134	42	81	106	85
Dnph1	360	408	279	393	341	628	372	578
Efhd2	429	842	681	535	498	872	417	482
Cyp2b9	0	0	0	0	0	0	0	0
Rad54l2	62	104	168	24	109	35	26	77
Clcf1	447	942	347	521	447	543	699	476
Sh3bgr	0	0	6	0	0	3	0	0
Nup88	389	681	982	801	754	1385	1299	1221
Phc1	53	272	243	164	204	165	108	133
Mthfd1l	235	107	0	21	131	144	90	176
Kremen2	0	2	1	0	0	1	1	38
Hmgn1	15797	11426	11771	11237	18966	18466	14969	20441
Madd	185	172	399	93	302	210	482	423
Tbl3	103	177	416	581	87	299	322	359
Col16a1	4	1039	1	30	0	85	0	3
Slco4c1	0	0	0	0	0	0	0	0
Apobec2	0	0	0	0	0	0	0	0
Dnajc16	24	125	58	46	120	29	106	142
Limd2	133	477	196	176	259	148	218	282
Ap1g2	261	324	388	303	344	484	659	395
Cyp2s1	1561	2566	1692	1108	571	1049	1237	567
Agmat	0	0	0	0	0	0	0	0
St8sia4	5	10	0	4	1	3	1	1
Sh3pxd2b	393	895	401	292	191	359	297	750
Camta2	107	146	302	230	258	217	50	315
Creg1	3912	5154	3682	2172	962	891	1159	1299
Klc3	0	87	51	81	65	213	70	93
Rsc1a1	0	0	0	0	0	0	0	0
Il17rd	0	9	1	0	1	0	8	1
Virma	373	382	880	465	535	369	705	656
